Restaurant_name,Restaurant_location,Restaurant_cuisine,Restaurant_score,Number_of_reviews
Freshdays,Kreuzberg,Vietnamese Restaurant,,
Nymami,Prenzlauer Berg,Vietnamese Restaurant,,
Sala7,Kreuzberg,Italian Restaurant,5.3,3.0
Vedang - Plant Burger,Prenzlauer Berg,International Restaurant,1.0,1.0
Loggia Restaurant Pizzeria,Schöneberg,Italian Restaurant,5.3,14.0
Pfau Restaurant & Bar,Kreuzberg,International Restaurant,,
GLASWEISE,Kreuzberg,Eat & Drink,0.0,6.0
Lalibela,Neukölln,Ethiopian Restaurant,5.3,14.0
Fancy Lemon - Pizza Napoletana,Prenzlauer Berg,Italian Restaurant,5.5,2.0
Batho Restaurant,Friedrichshain,Asian Fusion Restaurant,0.0,7.0
Waterlily,Friedrichshain,Vietnamese Restaurant,,
Gasthaus Figl,Kreuzberg,Italian Restaurant,5.5,6.0
Cafe Bar Moloko,Prenzlauer Berg,International Restaurant,4.3,6.0
Trattoria Leo e pepe,Kreuzberg,Italian Restaurant,0.0,3.0
Aleppo Supper Club Restaurant,Friedrichshain,Syrian Restaurant,5.4,9.0
Ông Chu,Kreuzberg,Vietnamese Restaurant,,
Huong Quê Restaurant Kreuzberg,Kreuzberg,Asian Restaurant,,
Sorella,Kreuzberg,Neapolitan Restaurant,,
"Lalibela Restaurant- Taste of Ethiopia, Maybachufer",Neukölln,Ethiopian Restaurant,4.5,2.0
Chay Long Hasenheide,Kreuzberg,Asian Restaurant,5.3,6.0
Nam Long,Kreuzberg,Vietnamese Restaurant,5.7,3.0
Kissho Sushi and more,Kreuzberg,Japanese Restaurant,,
Sora - Café & Wohnaccessoires,Kreuzberg,Eat & Drink,0.0,1.0
Sonkei Restaurant,Kreuzberg,Asian Restaurant,0.0,1.0
Reichen Burger,Kreuzberg,Burgers,,
Unser Café 2,Schöneberg,Portuguese Restaurant,5.9,12.0
Golden Tiger,Prenzlauer Berg,Asian Restaurant,,
Kai Maison,Neukölln,Asian Restaurant,5.3,4.0
Meyman Pizzeria,Friedrichshain,Italian Restaurant,5.7,3.0
MedEATerranean TRIP,Friedrichshain,Mediterranean Restaurant,5.8,6.0
Ja Niko Ja,Mitte,Greek Restaurant,5.3,12.0
Mido Sakura Vegan,Prenzlauer Berg,Asian Restaurant,,
Restaurant Hasenheide,Kreuzberg,German Restaurant,5.1,7.0
CANTUCCIO Ristorante,Kreuzberg,Italian Restaurant,,
Maison Rahel,Kreuzberg,Mediterranean Restaurant,0.0,1.0
Ristorante Don Giovanni,Moabit,Italian Restaurant,5.0,5.0
Batu Pattaya Restaurant,Prenzlauer Berg,Asian Restaurant,5.5,2.0
Vina Haus Restaurant,Prenzlauer Berg,Vietnamese Restaurant,,
MANNA Café,Prenzlauer Berg,International Restaurant,,
Saigon Dragon Restaurant,Friedrichshain,Vietnamese Restaurant,5.5,2.0
AnCom Kitchen,Kreuzberg,Vietnamese Restaurant,0.0,1.0
Beef Grill Club by Hasir - Wilmersdorf,Wilmersdorf,Steak Restaurant,5.0,21.0
Lang Xua Restaurant,Friedrichshain,Vietnamese Restaurant,0.0,1.0
Viet Nam & Sushi Bar F-Hain,Friedrichshain,Asian Restaurant,,
Cafe Drei Elefanten,Neukölln,Ukranian Restaurant,5.5,11.0
My Tibet Haus,Friedrichshain,Indian Restaurant,5.5,6.0
Fabbrica del Gusto,Prenzlauer Berg,Italian Restaurant,5.0,1.0
Tor Eins,Kreuzberg,International Restaurant,5.3,3.0
Les Climats,Tiergarten,French Restaurant,5.1,7.0
XUDU,Kreuzberg,Asian Restaurant,,
Agatha Hopfen,Friedrichshain,International Restaurant,,
Coronita Mexicana,Prenzlauer Berg,Mexican Restaurant,,
Yo Pho,Kreuzberg,Asian Restaurant,3.0,1.0
Brocca Café - The healthy Co.,Prenzlauer Berg,International Restaurant,,
Mayfair Garden,Friedrichshain,German Restaurant,5.3,4.0
Kane Mam,Friedrichshain,Greek Restaurant,5.9,8.0
Restaurant Neumann's,Moabit,International Restaurant,4.0,4.0
Emira Berlin Vegan Sushi Restaurant,Prenzlauer Berg,Japanese Restaurant,,
Weinverein Am Berg,Kreuzberg,French Restaurant,5.0,6.0
En Elladi - Griechische Taverna,Prenzlauer Berg,Greek Restaurant,,
NGON21,Friedrichshain,Vietnamese Restaurant,,
Schwiliko,Kreuzberg,Georgian Restaurant,,
IL PIZZAIOLO,Kreuzberg,Neapolitan Restaurant,,
REDSDeli,Kreuzberg,Mediterranean Restaurant,5.8,5.0
Kashmir,Friedrichshain,Indian Restaurant,,
Two Friends Friedrichshain,Friedrichshain,Burgers,,
Fjord by Munch's Hus,Schöneberg,Nordic Restaurant,5.0,14.0
QB Vegan,Neukölln,Vietnamese Restaurant,5.0,3.0
Cargo Gastronomia,Friedrichshain,International Restaurant,5.2,5.0
NemNem Restaurant,Pankow,Asian Restaurant,5.3,3.0
Kramer Restaurant,Neukölln,Mediterranean Restaurant,,
Prenzl Burger,Prenzlauer Berg,Burgers,,
Persepolis,Schöneberg,Persian Restaurant,5.0,8.0
Seasons,Mitte,Vietnamese Restaurant,,
90's Vietnamese Tapas & Sushi,Friedrichshain,Vietnamese Restaurant,5.4,5.0
MithoCha! Neukölln,Neukölln,Nepalese Restaurant,4.0,2.0
Café Brunchella,Friedrichshain,International Restaurant,,
La Stazione,Friedrichshain,Italian Restaurant,5.0,4.0
Swadishta,Mitte,Indian Restaurant,4.0,2.0
Three dudes next door,Neukölln,Burgers,0.0,1.0
MIO-1989,Friedrichshain,Vietnamese Restaurant,,
Dada Indisches Restaurant & Cocktailbar,Friedrichshain,Indian Restaurant,5.3,3.0
Migo Marokkanische Küche,Neukölln,Moroccan Restaurant,5.8,6.0
Neffes,Schöneberg,International Restaurant,,
Abonim,Prenzlauer Berg,Asian Restaurant,4.0,3.0
FreiFläche Bistro,Schöneberg,International Restaurant,,
Tabar Bar,Moabit,Greek Restaurant,,
Mai Kudamm,Charlottenburg,Vietnamese Restaurant,5.0,13.0
BAR BAUTROCKNER,Friedrichshain,Drinks,,
La Bandida,Weißensee,Argentinian Restaurant,5.4,5.0
Restaurant Hasir (Schöneberg),Schöneberg,Turkish Restaurant,4.8,6.0
Bami 789 Thai food and drinks,Friedrichshain,Thai Restaurant,5.5,2.0
Lovely Sushi,Lichtenberg,Sushi,5.7,6.0
Masaya Restaurant,Schöneberg,Middle Eastern Restaurant,4.0,3.0
Keyfi Sefa by THE MEAT,Tiergarten,Turkish Restaurant,5.8,5.0
Diamond Lounge,Tempelhof,Drinks,5.0,22.0
El Colmado (Kudamm),Charlottenburg,Spanish Restaurant,5.2,13.0
Sljiva,Moabit,Mediterranean Restaurant,5.5,8.0
Rosé Restaurant & Café,Schöneberg,International Restaurant,5.0,1.0
Restaurant Pamfilya,Wedding,Turkish Restaurant,5.2,6.0
Restaurant Miteinander,Friedenau,German Restaurant,5.2,23.0
Papa Nô Friedrichshain,Friedrichshain,Asian Restaurant,,
El Pasto Restaurant,Pankow,Mexican Restaurant,5.3,7.0
Restaurant Luck,Friedrichshain,Indian Restaurant,5.0,1.0
Beef Grill Club by Hasir im KaDeWe,Schöneberg,International Restaurant,5.1,8.0
Bajra - Nepalesisches Restaurant,Friedrichshain,Nepalese Restaurant,,
Restaurant Schäfer,Wedding,International Restaurant,5.8,6.0
Brezel Berlin Café und mehr,Schöneberg,International Restaurant,0.0,1.0
Umi Vegan,Schöneberg,Vegan Option,5.5,4.0
MOA EAT & MOA BAR,Moabit,International Restaurant,4.3,3.0
Golden Rice 2,Schöneberg,Asian Restaurant,5.7,3.0
Lalibela taste of Ethiopia,Wedding,Ethiopian Restaurant,5.7,6.0
Markthallen Bar,Moabit,Mediterranean Restaurant,5.8,4.0
Pêle Mêle,Neukölln,Cake & Coffee,5.8,5.0
Weyers,Charlottenburg,International Restaurant,5.5,14.0
Neva Restaurant,Schöneberg,Mediterranean Restaurant,,
One and Only,Schöneberg,Asian Restaurant,,
Kollektiv Kitchen,Kreuzberg,Fusion Restaurant,,
Cafe Daddy,Schöneberg,International Restaurant,0.0,2.0
Enzo's,Charlottenburg,Mediterranean Restaurant,4.8,4.0
Ambiance Shisha Restaurant,Schöneberg,International Restaurant,,
Hummus Studio,Schöneberg,Israeli Restaurant,,
ProMo Restaurant,Moabit,Mediterranean Restaurant,4.0,5.0
Anomi Restaurant,Friedrichshain,Asian Restaurant,5.0,5.0
Hol! Cow - Pakistan Street Food,Neukölln,Pakistani Restaurant,0.0,1.0
Ha-Anh,Schöneberg,Vietnamese Restaurant,3.0,1.0
MOIM,Charlottenburg,Asian Restaurant,5.4,22.0
Trattoria Gino,Schöneberg,European Restaurant,3.0,2.0
Hanoi,Charlottenburg,Vietnamese Restaurant,5.2,10.0
Anappurna Ku'damm,Charlottenburg,Indian Restaurant,5.7,3.0
Asia Deli,Wedding,Chinese Restaurant,5.0,4.0
Event Restaurant Vorwerck,Neukölln,International Restaurant,,
Ristorante La Cantina Bleibtreustraße,Charlottenburg,Italian Restaurant,5.3,13.0
Kaiju Restaurant,Schöneberg,Asian Restaurant,,
Indisches Restaurant Sarkar,Schöneberg,Indian Restaurant,0.0,2.0
Momenti Di Vini Salumeria & Enoteca,Pankow,Italian Restaurant,5.0,5.0
Skal by Munch's Hus,Charlottenburg,Scandinavian Restaurant,5.5,15.0
Bleib V,Wilmersdorf,Vegetarian Option,5.0,1.0
Café ILOstan,Schöneberg,Contemporary Restaurant,5.1,10.0
Byblos Restaurant Berlin,Schöneberg,Arabic Restaurant,5.2,5.0
Bamboo Bowl,Lichtenberg,Asian Restaurant,,
Restaurant R23,Schöneberg,International Restaurant,4.5,2.0
Restaurant MasliNovo,Schöneberg,Greek Restaurant,5.5,2.0
"Lily Burger ""Beef & Vegan Grill-Club“",Charlottenburg,Steak Restaurant,5.3,4.0
THE DOOR - BOUTIQUE CLUB,Charlottenburg,International Restaurant,,
Viet Rice,Schöneberg,Vietnamese Restaurant,,
Boujee Berlin,Wilmersdorf,International Restaurant,5.0,12.0
Lovely Sushi & More,Charlottenburg,Sushi,,
Shiso Burger,Charlottenburg,Asian Restaurant,5.4,13.0
Lily Hookah-Club,Charlottenburg,International Restaurant,,
"Lily Breakfast-Club ""Beef & Vegan Brunch“",Charlottenburg,American Restaurant,2.5,2.0
Trattoria Café Tatou,Charlottenburg,Italian Restaurant,,
Da Lionello,Pankow,Italian Restaurant,0.0,1.0
Gainsbourg Le Club - Bar Americain,Charlottenburg,International Restaurant,0.0,1.0
Casa Di Maria,Wilmersdorf,Italian Restaurant,5.4,7.0
Trung Van Restaurant,Weißensee,Vietnamese Restaurant,,
June Wine Bar,Charlottenburg,International Restaurant,5.5,4.0
Parc fermé,Moabit,International Restaurant,5.0,8.0
Bambusstäbchen,Tempelhof,Asian Restaurant,0.0,2.0
Trattoria Da Luca,Charlottenburg,Italian Restaurant,,
KITARO,Charlottenburg,Asian Restaurant,5.0,5.0
Simela Charlottenburg,Charlottenburg,Mediterranean Restaurant,,
Pho Nguyen 68,Charlottenburg,Vietnamese Restaurant,5.3,3.0
Churrolade,Reinickendorf,Cake & Coffee,3.0,1.0
Nam Thuân,Charlottenburg,Vietnamese Restaurant,,
Bao Nhung 1993 Restaurant,Charlottenburg,Asian Restaurant,5.5,4.0
Sagano,Charlottenburg,Sushi,5.1,11.0
Noosh Restaurant Berlin,Charlottenburg,Middle Eastern Restaurant,,
Marooush Smokers Lounge,Charlottenburg,Arabic Restaurant,0.0,1.0
Ristorante ROMA,Wilmersdorf,Roman Restaurant,5.3,12.0
Pascarella,Charlottenburg,Italian Restaurant,4.3,3.0
All About Café - West Berlin,Charlottenburg,International Restaurant,,
Sake Sushi Bar,Charlottenburg,Japanese Restaurant,5.5,4.0
Da Luca,Wilmersdorf,Italian Restaurant,3.0,1.0
Ristorante Botticelli,Wilmersdorf,Italian Restaurant,0.0,1.0
Sing-Le,Charlottenburg,Asian Restaurant,,
PP Premium »finest mediterranean taste«,Charlottenburg,Mediterranean Restaurant,0.0,1.0
Cozy Asian Kitchen & Sushi,Wilmersdorf,Asian Restaurant,,
Bao An,Wilmersdorf,Asian Restaurant,,
Ristorante Da Toni,Wilmersdorf,Italian Restaurant,,
Ristorante Paulo Scutarro,Charlottenburg,Italian Restaurant,1.0,1.0
Labra Burger,Lichtenberg,Burgers,,
Kaffee Karamell,Charlottenburg,International Restaurant,4.8,12.0
Milch & Soda,Charlottenburg,Drinks,0.0,7.0
Fit & Green by Adriana,Charlottenburg,International Restaurant,5.3,3.0
Haruko asiafusion & sushi,Friedenau,Asian Restaurant,0.0,1.0
Minakami,Charlottenburg,Japanese Restaurant,0.0,1.0
Batumi,Wilmersdorf,Georgian Restaurant,5.0,3.0
La Batea,Charlottenburg,South American Restaurant,5.3,3.0
the BurgerBar,Tempelhof,American Restaurant,5.0,10.0
Burgers Berlin,Charlottenburg,Burgers,,
Ristorante Pizzeria Barolo,Friedenau,Italian Restaurant,5.9,8.0
Trattoria Da Pizzo,Tempelhof,Italian Restaurant,4.9,9.0
Trattoria Ischia,Halensee,Italian Restaurant,5.0,8.0
Café Friedrichs,Charlottenburg,Cake & Coffee,0.0,1.0
Mille Gusti,Wilmersdorf,Italian Restaurant,,
Hektor Restaurant Wein Bar,Charlottenburg,Mediterranean Restaurant,0.0,10.0
Restaurant India Palace,Friedenau,Indian Restaurant,4.5,2.0
Ristorante San Giorgio,Charlottenburg,Italian Restaurant,0.0,3.0
Restaurant Amida,Friedenau,German Restaurant,5.5,8.0
Steakhouse Giovanni 1987,Friedrichsfelde,Steak Restaurant,5.0,8.0
Three Dudes of Next Door Steglitz,Steglitz,Burgers,,
Tomasa Zehlendorf,Zehlendorf,International Restaurant,5.3,70.0
Bonni Fine Sushi & Asian Cuisine,Schöneberg,Asian Restaurant,0.0,1.0
Gasthaus Kater Alex,Charlottenburg,German Restaurant,5.5,2.0
Ziko's Grill,Charlottenburg,German Restaurant,3.0,1.0
Ristorante Bianco,Charlottenburg,Italian Restaurant,,
Feurichs,Malchow,German Restaurant,5.0,13.0
963,Charlottenburg,Arabic Restaurant,3.0,2.0
Black Burger,Charlottenburg,American Restaurant,,
008 Look & Feel Grill,Steglitz,Asian Restaurant,5.4,10.0
Vareladiko Griechische Taverne,Charlottenburg,Greek Restaurant,5.7,3.0
Thakali Haus,Charlottenburg,Asian Restaurant,0.0,3.0
Sushi for life,Charlottenburg,Asian Restaurant,,
Sen Vegan,Charlottenburg,Asian Restaurant,0.0,4.0
Cookie Doughi,Charlottenburg,International Restaurant,0.0,1.0
Fratelli da Giovanni Quattro,Lichtenberg,Italian Restaurant,,
Sumi,Halensee,Vietnamese Restaurant,4.0,5.0
Ristorante Tagesbar,Dahlem,Italian Restaurant,5.0,16.0
DuftReis,Charlottenburg,Asian Restaurant,5.7,3.0
Il Castello Schloss Charlottenburg,Charlottenburg,Italian Restaurant,,
Machiavelli am Roseneck,Dahlem,Italian Restaurant,5.3,22.0
KARMA Restaurant Berlin,Neukölln,Indian Restaurant,5.0,1.0
Giovanni Cinque,Friedrichsfelde,Italian Restaurant,,
Eiffel,Charlottenburg,European Restaurant,5.5,2.0
Split Mariendorf,Mariendorf,Croatian Restaurant,0.0,1.0
Kadena,Friedenau,European Restaurant,5.0,1.0
Steakhaus Barbecue,Mahlsdorf,Argentinian Restaurant,5.4,72.0
Cantina Siciliana,Charlottenburg,Italian Restaurant,4.5,2.0
Raymons - Das Fischrestaurant,Spandau,Fish Restaurant,5.1,69.0
Sushi Yoshi,Halensee,Asian Restaurant,,
Papa Thai,Charlottenburg,Asian Restaurant,5.9,7.0
Restaurant Balkan Grillhaus,Tempelhof,European Restaurant,,
Späth´s Das Gasthaus,Baumschulenweg,German Restaurant,5.0,1.0
Restaurant & Cocktailbar Paella,Charlottenburg,Mexican Restaurant,5.0,1.0
La Rose Ristorante,Charlottenburg,Italian Restaurant,,
Dosa King Indisches Restaurant,Steglitz,International Restaurant,,
Hubertha 2,Reinickendorf,Asian Fusion Restaurant,,
Wiener Conditorei Caffeehaus Am Steubenplatz,Charlottenburg,Cake & Coffee,5.4,17.0
Streetfood Burgerhouse,Mariendorf,Burgers,,
Mundo Mariendorf,Mariendorf,Spanish Restaurant,,
Restaurant Le Canard,Steglitz,French Restaurant,5.7,6.0
Il Porto,Charlottenburg,Italian Restaurant,5.2,36.0
Chao She,Steglitz,Chinese Restaurant,,
Taverna Orakel,Wittenau,Greek Restaurant,5.8,4.0
Viet koch BBQ,Dahlem,Vietnamese Restaurant,,
Bei Maria,Steglitz,European Restaurant,5.7,3.0
Ristorante Matera,Steglitz,Italian Restaurant,0.0,2.0
Wiener Conditorei & Caffeehaus Am Roseneck,Wilmersdorf,Cake & Coffee,5.4,5.0
Restaurant  Rasas,Charlottenburg,Indian Restaurant,,
STEAK HOUSE RANCHERO,Reinickendorf,Steak Restaurant,5.5,2.0
Wiener Conditorei Caffeehaus am Hagenplatz,Grunewald,Cake & Coffee,5.9,8.0
Beyoglu Restaurant,Wittenau,Turkish Restaurant,,
SAHATOKY Restaurant,Mitte,Asian Restaurant,,
Bathura Indisches Restaurant,Steglitz,Indian Restaurant,0.0,1.0
Perlenmühle Café & Bäckerei,Reinickendorf,Cake & Coffee,,
Elvan Grillhaus,Buckow,Turkish Restaurant,,
Ristorante Don Giuseppe,Tegel,Italian Restaurant,5.4,14.0
Charlotte,Spandau,International Restaurant,5.4,32.0
Boccadoro-cucina italiana,Lichterfelde,Italian Restaurant,5.5,13.0
Khoi Viet BBQ,Steglitz,Asian Restaurant,5.0,1.0
Restaurant Macedonia,Lichterfelde,European Restaurant,,
Il Bene,Rudow,Italian Restaurant,,
Kaffeehaus Karow,Karow,Cake & Coffee,,
Nokta Grillhaus,Kreuzberg,International Restaurant,,
Meet Saigon,Adlershof,Vietnamese Restaurant,5.4,20.0
L'Annam,Köpenick,Vietnamese Restaurant,5.2,114.0
Bombay,Tegel,Indian Restaurant,0.0,1.0
Dalmacija Restaurant,Marienfelde,Croatian Restaurant,5.7,10.0
Wiener Conditorei Caffeehaus In Dahlem,Dahlem,Cake & Coffee,4.3,3.0
shō ga nai Sushi Bar,Adlershof,Sushi,0.0,2.0
Olivo,Adlershof,Italian Restaurant,4.3,4.0
Griechisches Restaurant Athen,Bernau,European Restaurant,5.7,12.0
Havel Pizza,Spandau,Pizza,0.0,1.0
Restaurant Hasir (Spandau),Spandau,Turkish Restaurant,5.4,14.0
Dal Vino,Hellersdorf,Italian Restaurant,5.0,7.0
Moi Sunrise,Kreuzberg,Asian Restaurant,,
Ristorante Il Nuovo Cristallo,Zehlendorf,Italian Restaurant,5.9,14.0
Restaurant Roti,Spandau,Indian Restaurant,,
Restaurant Si,Steglitz,Fusion Restaurant,,
Villa Kulinaria,Lichtenrade,German Restaurant,,
Kö Reloaded,Spandau,European Restaurant,4.5,4.0
Boraz,Spandau,Pizza,,
Adam-Restaurant Müllerstraße,Wedding,Syrian Restaurant,,
Vietnam Town Sushi Bar - Restaurant,Lichtenrade,Sushi,,
Landhaus Hubertus,Frohnau,German Restaurant,5.3,34.0
Don Giovanni am Yachthafen,Köpenick,Italian Restaurant,,
Goldhorn Beefclub,Spandau,Steak Restaurant,5.3,20.0
Kajüte am See,Gatow,German Restaurant,1.5,2.0
Enoteca Paradiso,Steglitz,Italian Restaurant,,
Restaurant Petit-vietnamesisches Restaurant,Wannsee,Asian Fusion Restaurant,5.3,25.0
Wirtshaus zur Pfaueninsel,Wannsee,German Restaurant,3.7,3.0
Taj Mahal House Rahnsdorf,Rahnsdorf,Indian Restaurant,,
Casalot Restaurant,Mitte,Arabic Restaurant,5.5,152.0
Rausch Schokoladen-Café,Mitte,German Restaurant,5.5,71.0
Restaurant Fleischerei,Prenzlauer Berg,German Restaurant,5.2,789.0
La Cantine d'Augusta,Schöneberg,French Restaurant,5.8,57.0
BlackBull Grillhouse,Kreuzberg,Steak Restaurant,5.3,19.0
Deck5 - Die Rooftop-Strandbar,Prenzlauer Berg,International Restaurant,5.1,22.0
Shi-Mai,Mitte,Asian Restaurant,5.2,11.0
Mamay,Prenzlauer Berg,Vietnamese Restaurant,5.5,13.0
Love at first bite - Cafe & Breakfast,Prenzlauer Berg,Cake & Coffee,5.4,5.0
LVL World of Gaming - Berlin,Mitte,International Restaurant,5.0,1.0
Charme Thai Bistro Cafe,Prenzlauer Berg,Asian Restaurant,5.3,7.0
Donath,Prenzlauer Berg,Italian Restaurant,,
ABC Allans Breakfast Club,Prenzlauer Berg,Australian Restaurant,5.0,1.0
Ryu,Friedrichshain,Asian Fusion Restaurant,5.7,9.0
Planet Bowl,Kreuzberg,Asian Restaurant,,
KOISEN,Kreuzberg,Asian Restaurant,,
Kongfu Chili,Prenzlauer Berg,Chinese Restaurant,,
Cassiopeia Sommergarten,Friedrichshain,International Restaurant,5.3,3.0
Munch's Hus,Schöneberg,Nordic Restaurant,,
Restaurant OM,Moabit,Indian Restaurant,,
Promenaden Eck,Neukölln,Drinks,,
Vincent Burger,Charlottenburg,Burgers,5.5,14.0
Prestige Wein & Tapas,Charlottenburg,Spanish Restaurant,5.8,5.0
THE SMOKEHOUSE BARBEQUE,Lichtenberg,American Restaurant,,
Sagar,Wilmersdorf,Indian Restaurant,,
12seasons,Charlottenburg,European Restaurant,0.0,1.0
MQ Californian Casual Dining,Charlottenburg,International Restaurant,4.5,4.0
Cafe Schloss Friedrichsfelde im Tierpark Berlin,Friedrichsfelde,German Restaurant,5.0,1.0
FineFood,Schöneberg,International Restaurant,,
MARA CARBO - Steakhouse & BBQ Ranch,Gatow,Steak Restaurant,5.4,13.0
Café Monet,Spandau,Cake & Coffee,,
